OPP_G,OPP_MP,OPP_FG,OPP_FGA,OPP_FG%,OPP_3P,OPP_3PA,OPP_3P%,OPP_2P,OPP_2PA,OPP_2P%,OPP_FT,OPP_FTA,OPP_FT%,OPP_ORB,OPP_DRB,OPP_TRB,OPP_AST,OPP_STL,OPP_BLK,OPP_TOV,OPP_PF,OPP_PTS,TEAM,SEASON,SEASON_START
82,19755,3232,6804,0.475,664,1614,0.411,2568,5190,0.495,1438,1894,0.759,894,2676,3570,1984,619,489,1111,1747,8566,CLE,2010-11,2010
82,19705,3153,6876,0.459,576,1675,0.344,2577,5201,0.495,1539,2036,0.7559999999999999,864,2525,3389,1820,611,488,1127,1864,8421,DEN,2010-11,2010
82,19855,3260,6826,0.478,480,1353,0.355,2780,5473,0.508,1589,2085,0.762,868,2508,3376,1779,666,464,1204,1723,8589,SAC,2010-11,2010
82,19880,3266,6979,0.468,448,1250,0.358,2818,5729,0.4920000000000001,1526,1954,0.7809999999999999,955,2552,3507,1707,588,449,1125,1754,8506,HOU,2010-11,2010
82,19780,3071,6837,0.449,511,1423,0.359,2560,5414,0.473,1618,2157,0.75,931,2618,3549,1670,615,467,1143,1758,8271,IND,2010-11,2010
82,19830,2834,6342,0.447,437,1309,0.334,2397,5033,0.476,1498,1946,0.77,836,2629,3465,1657,507,392,1245,1694,7603,MIL,2010-11,2010
82,19880,2967,6489,0.457,587,1592,0.369,2380,4897,0.486,1482,1948,0.7609999999999999,905,2387,3292,1724,613,505,1367,1754,8003,MEM,2010-11,2010
82,20005,3123,6823,0.458,482,1335,0.361,2641,5488,0.481,1557,2093,0.7440000000000001,932,2395,3327,1712,587,356,1152,1767,8285,OKC,2010-11,2010
82,19730,3009,6537,0.46,459,1358,0.338,2550,5179,0.4920000000000001,1380,1782,0.774,839,2488,3327,1751,548,348,1026,1517,7857,ATL,2010-11,2010
82,19705,2996,6656,0.45,508,1480,0.343,2488,5176,0.481,1373,1830,0.75,880,2459,3339,1689,623,303,1114,1650,7873,DAL,2010-11,2010
82,19780,3127,6860,0.456,479,1305,0.3670000000000001,2648,5555,0.477,1301,1698,0.7659999999999999,884,2494,3378,1685,567,374,1095,1701,8034,SAS,2010-11,2010
82,19830,2865,6569,0.436,516,1476,0.35,2349,5093,0.461,1441,1940,0.743,805,2450,3255,1646,606,310,1136,1791,7687,ORL,2010-11,2010
82,19780,2768,6371,0.434,443,1304,0.34,2325,5067,0.459,1494,1975,0.7559999999999999,862,2387,3249,1533,574,364,1262,1659,7473,BOS,2010-11,2010
82,19830,3173,6788,0.467,567,1586,0.358,2606,5202,0.501,1755,2262,0.7759999999999999,1051,2623,3674,2029,672,352,1324,1512,8668,GSW,2010-11,2010
82,20005,3309,7018,0.472,585,1595,0.3670000000000001,2724,5423,0.502,1481,1964,0.754,985,2647,3632,1890,644,356,1189,1740,8684,PHO,2010-11,2010
82,19830,2805,6523,0.43,427,1308,0.326,2378,5215,0.456,1450,1898,0.764,828,2322,3150,1556,568,477,1159,1645,7487,CHI,2010-11,2010
82,19780,3213,6668,0.482,541,1438,0.376,2672,5230,0.511,1672,2175,0.769,912,2457,3369,1854,625,456,1141,1620,8639,TOR,2010-11,2010
82,19830,3008,6888,0.4370000000000001,558,1668,0.335,2450,5220,0.469,1246,1628,0.765,1002,2399,3401,1827,585,372,1116,1700,7820,LAL,2010-11,2010
82,20005,3069,6602,0.465,507,1393,0.364,2562,5209,0.4920000000000001,1589,2115,0.7509999999999999,849,2575,3424,1824,561,375,1010,1638,8234,NJN,2010-11,2010
82,19780,3230,6902,0.468,639,1707,0.374,2591,5195,0.499,1733,2227,0.778,913,2577,3490,2031,777,447,1183,1717,8832,MIN,2010-11,2010
82,19880,2967,6460,0.459,592,1573,0.376,2375,4887,0.486,1777,2285,0.778,925,2426,3351,1700,609,411,1199,1802,8303,UTA,2010-11,2010
82,19780,3242,6870,0.472,536,1442,0.3720000000000001,2706,5428,0.499,1650,2165,0.762,964,2646,3610,1682,586,360,1250,1703,8670,NYK,2010-11,2010
82,19805,2904,6218,0.467,529,1440,0.3670000000000001,2375,4778,0.4970000000000001,1434,1869,0.767,868,2385,3253,1573,566,339,1286,1743,7771,POR,2010-11,2010
82,19805,2956,6492,0.455,577,1609,0.359,2379,4883,0.487,1489,1908,0.78,804,2446,3250,1777,601,496,1082,1730,7978,CHA,2010-11,2010
82,19855,3046,6688,0.455,584,1598,0.365,2462,5090,0.484,1670,2167,0.7709999999999999,914,2410,3324,1827,659,404,1125,1811,8346,LAC,2010-11,2010
82,19780,2869,6614,0.434,546,1584,0.345,2323,5030,0.462,1473,1980,0.7440000000000001,864,2349,3213,1651,574,246,1081,1788,7757,MIA,2010-11,2010
82,19830,2882,6306,0.457,557,1562,0.35700000000000004,2325,4744,0.49,1390,1805,0.77,769,2457,3226,1739,497,396,1192,1674,7711,NOH,2010-11,2010
82,19930,3174,6741,0.471,560,1500,0.373,2614,5241,0.499,1676,2202,0.7609999999999999,994,2607,3601,1898,624,413,1293,1662,8584,WAS,2010-11,2010
82,19880,3110,6405,0.486,523,1461,0.358,2587,4944,0.523,1503,1962,0.7659999999999999,866,2470,3336,1910,568,381,1160,1545,8246,DET,2010-11,2010
82,19930,2996,6638,0.451,468,1375,0.34,2528,5263,0.48,1536,1987,0.773,881,2608,3489,1762,583,376,1168,1544,7996,PHI,2010-11,2010
66,15965,2536,5431,0.467,448,1236,0.362,2088,4195,0.498,1095,1464,0.748,752,2073,2825,1527,524,409,917,1381,6615,CLE,2011-12,2011
66,15915,2668,5609,0.476,439,1236,0.355,2229,4373,0.51,1118,1468,0.762,815,2154,2969,1571,518,423,1014,1313,6893,SAC,2011-12,2011
66,16040,2541,5569,0.456,571,1489,0.383,1970,4080,0.483,1029,1356,0.759,730,1928,2658,1528,524,439,1028,1452,6682,DEN,2011-12,2011
66,16065,2474,5427,0.456,369,1136,0.325,2105,4291,0.491,1142,1490,0.7659999999999999,729,2027,2756,1321,495,340,972,1215,6459,HOU,2011-12,2011
66,15990,2305,5304,0.435,442,1259,0.35100000000000003,1863,4045,0.461,1179,1617,0.7290000000000001,794,1998,2792,1292,433,398,985,1428,6231,IND,2011-12,2011
66,15865,2449,5453,0.449,438,1247,0.35100000000000003,2011,4206,0.478,1181,1535,0.769,813,2138,2951,1433,499,297,1049,1278,6517,MIL,2011-12,2011
66,15940,2278,5132,0.444,417,1209,0.345,1861,3923,0.474,1163,1522,0.764,729,1954,2683,1274,518,363,1130,1275,6136,MEM,2011-12,2011
66,15990,2405,5629,0.4270000000000001,421,1231,0.342,1984,4398,0.451,1167,1519,0.768,835,1889,2724,1312,542,321,937,1322,6398,OKC,2011-12,2011
66,16165,2380,5366,0.444,391,1137,0.344,1989,4229,0.47,997,1324,0.753,712,2079,2791,1354,494,313,999,1263,6148,ATL,2011-12,2011
66,16065,2347,5390,0.435,473,1368,0.34600000000000003,1874,4022,0.466,1092,1456,0.75,725,2173,2898,1351,561,265,971,1213,6259,DAL,2011-12,2011
66,15940,2512,5560,0.452,412,1166,0.353,2100,4394,0.478,932,1233,0.7559999999999999,680,2039,2719,1291,489,330,906,1244,6368,SAS,2011-12,2011
66,15965,2372,5287,0.449,414,1192,0.34700000000000003,1958,4095,0.478,1005,1302,0.772,667,2061,2728,1350,495,273,867,1308,6163,ORL,2011-12,2011
66,15940,2207,5262,0.419,344,1117,0.308,1863,4145,0.449,1138,1498,0.76,781,2070,2851,1233,515,304,1035,1217,5896,BOS,2011-12,2011
66,15915,2461,5431,0.453,468,1281,0.365,1993,4150,0.48,1288,1725,0.747,869,2157,3026,1527,499,328,978,1095,6678,GSW,2011-12,2011
66,15840,2505,5510,0.455,398,1131,0.35200000000000004,2107,4379,0.481,1100,1444,0.762,802,2064,2866,1416,526,288,929,1293,6508,PHO,2011-12,2011
66,15940,2284,5420,0.421,305,939,0.325,1979,4481,0.442,946,1279,0.74,750,1889,2639,1245,490,343,876,1166,5819,CHI,2011-12,2011
66,16065,2492,5703,0.4370000000000001,443,1274,0.348,2049,4429,0.463,901,1215,0.742,758,1946,2704,1446,556,302,745,1332,6328,LAL,2011-12,2011
66,15940,2572,5656,0.455,406,1195,0.34,2166,4461,0.486,1059,1402,0.755,771,2096,2867,1422,549,377,875,1435,6609,MIN,2011-12,2011
66,15890,2501,5294,0.472,431,1151,0.374,2070,4143,0.5,1106,1494,0.74,780,2032,2812,1539,525,330,943,1274,6539,NJN,2011-12,2011
66,15965,2234,5130,0.435,401,1224,0.328,1833,3906,0.469,1335,1795,0.7440000000000001,677,1997,2674,1327,478,322,870,1214,6204,TOR,2011-12,2011
66,15940,2316,5238,0.442,444,1238,0.359,1872,4000,0.468,1171,1590,0.736,717,2045,2762,1248,536,334,1125,1437,6247,NYK,2011-12,2011
66,16165,2403,5310,0.453,428,1259,0.34,1975,4051,0.488,1302,1727,0.754,728,1988,2716,1355,494,375,968,1366,6536,UTA,2011-12,2011
66,15965,2476,5349,0.463,442,1217,0.363,2034,4132,0.4920000000000001,1062,1421,0.747,730,2062,2792,1392,499,314,982,1306,6456,POR,2011-12,2011
66,15890,2568,5411,0.475,406,1142,0.35600000000000004,2162,4269,0.506,1115,1486,0.75,778,2193,2971,1537,499,378,890,1341,6657,CHA,2011-12,2011
66,15965,2279,5098,0.447,460,1261,0.365,1819,3837,0.474,1251,1678,0.746,712,1914,2626,1368,396,296,966,1401,6269,LAC,2011-12,2011
66,16040,2285,5267,0.434,479,1318,0.363,1806,3949,0.457,1056,1457,0.725,727,1897,2624,1297,549,280,1107,1356,6105,MIA,2011-12,2011
66,15940,2305,5188,0.444,425,1342,0.317,1880,3846,0.489,1129,1487,0.759,731,1910,2641,1379,523,380,915,1235,6164,NOH,2011-12,2011
66,15865,2422,5352,0.453,426,1216,0.35,1996,4136,0.483,1227,1618,0.758,811,2062,2873,1420,520,300,1004,1231,6497,WAS,2011-12,2011
66,15965,2378,5147,0.462,395,1114,0.355,1983,4033,0.4920000000000001,1162,1518,0.765,703,1985,2688,1485,563,348,959,1283,6313,DET,2011-12,2011
66,15915,2263,5302,0.4270000000000001,357,1070,0.334,1906,4232,0.45,1017,1352,0.752,706,2181,2887,1293,391,316,918,1070,5900,PHI,2011-12,2011
82,19730,3109,6527,0.476,610,1639,0.3720000000000001,2499,4888,0.511,1469,1987,0.7390000000000001,889,2563,3452,1963,624,560,1249,1615,8297,CLE,2012-13,2012
82,19830,3222,6831,0.472,625,1762,0.355,2597,5069,0.512,1550,1980,0.7829999999999999,973,2601,3574,2058,624,517,1208,1636,8619,SAC,2012-13,2012
82,19905,3121,7025,0.444,687,1894,0.363,2434,5131,0.474,1358,1858,0.731,1020,2391,3411,1936,658,554,1305,1775,8287,DEN,2012-13,2012
82,19780,3184,7007,0.454,661,1798,0.368,2523,5209,0.484,1374,1771,0.7759999999999999,876,2539,3415,1858,693,498,1210,1674,8403,HOU,2012-13,2012
81,19590,2797,6657,0.42,440,1344,0.327,2357,5313,0.444,1314,1728,0.76,909,2401,3310,1555,611,459,1096,1777,7348,IND,2012-13,2012
82,19830,3152,6946,0.454,529,1519,0.348,2623,5427,0.483,1398,1841,0.759,1019,2757,3776,1893,658,362,1310,1567,8231,MIL,2012-13,2012
82,19805,2748,6312,0.435,504,1489,0.338,2244,4823,0.465,1319,1763,0.748,845,2359,3204,1599,600,450,1268,1643,7319,MEM,2012-13,2012
82,19830,2966,6972,0.425,610,1761,0.34600000000000003,2356,5211,0.452,1372,1773,0.774,987,2350,3337,1681,673,322,1212,1698,7914,OKC,2012-13,2012
82,19855,3066,6614,0.464,518,1415,0.366,2548,5199,0.49,1148,1571,0.731,878,2336,3214,1756,614,390,1102,1751,7798,BRK,2012-13,2012
82,19855,3073,6823,0.45,620,1635,0.379,2453,5188,0.473,1233,1617,0.763,928,2659,3587,1825,689,350,1249,1543,7999,ATL,2012-13,2012
82,19980,3067,6890,0.445,642,1789,0.359,2425,5101,0.475,1566,2079,0.753,985,2752,3737,1805,698,340,1202,1547,8342,DAL,2012-13,2012
