Team,W,L,W/L%,PS/G,PA/G,SRS,Season,Conference
MIAMI HEAT,52,30,.634,94.4,91.3,2.75,1999-2000,East
NEW YORK KNICKS,50,32,.610,92.1,90.7,1.30,1999-2000,East
PHILADELPHIA 76ERS,49,33,.598,94.8,93.4,1.02,1999-2000,East
ORLANDO MAGIC,41,41,.500,100.1,99.4,0.43,1999-2000,East
BOSTON CELTICS,35,47,.427,99.3,100.1,-1.00,1999-2000,East
NEW JERSEY NETS,31,51,.378,98.0,99.0,-1.18,1999-2000,East
WASHINGTON WIZARDS,29,53,.354,96.6,99.9,-3.47,1999-2000,East
INDIANA PACERS,56,26,.683,101.3,96.7,4.15,1999-2000,East
CHARLOTTE HORNETS,49,33,.598,98.4,95.8,2.33,1999-2000,East
TORONTO RAPTORS,45,37,.549,97.2,97.3,-0.46,1999-2000,East
DETROIT PISTONS,42,40,.512,103.5,102.0,1.13,1999-2000,East
MILWAUKEE BUCKS,42,40,.512,101.2,101.0,-0.06,1999-2000,East
CLEVELAND CAVALIERS,32,50,.390,97.0,100.5,-3.64,1999-2000,East
ATLANTA HAWKS,28,54,.341,94.3,99.7,-5.41,1999-2000,East
CHICAGO BULLS,17,65,.207,84.8,94.2,-9.23,1999-2000,East
PHILADELPHIA 76ERS,56,26,.683,94.7,90.4,3.64,2000-2001,East
MIAMI HEAT,50,32,.610,88.9,86.6,1.73,2000-2001,East
NEW YORK KNICKS,48,34,.585,88.7,86.1,1.98,2000-2001,East
ORLANDO MAGIC,43,39,.524,97.5,96.5,0.39,2000-2001,East
BOSTON CELTICS,36,46,.439,94.6,96.8,-2.40,2000-2001,East
NEW JERSEY NETS,26,56,.317,92.1,97.1,-5.30,2000-2001,East
WASHINGTON WIZARDS,19,63,.232,93.2,99.9,-6.75,2000-2001,East
MILWAUKEE BUCKS,52,30,.634,100.7,96.9,3.14,2000-2001,East
TORONTO RAPTORS,47,35,.573,97.6,95.4,1.69,2000-2001,East
CHARLOTTE HORNETS,46,36,.561,91.9,89.8,1.45,2000-2001,East
INDIANA PACERS,41,41,.500,92.6,92.8,-0.77,2000-2001,East
DETROIT PISTONS,32,50,.390,95.6,97.3,-2.08,2000-2001,East
CLEVELAND CAVALIERS,30,52,.366,92.2,96.5,-4.48,2000-2001,East
ATLANTA HAWKS,25,57,.305,91.0,96.2,-5.55,2000-2001,East
CHICAGO BULLS,15,67,.183,87.6,96.7,-9.09,2000-2001,East
NEW JERSEY NETS,52,30,.634,96.2,92.0,3.67,2001-2002,East
BOSTON CELTICS,49,33,.598,96.4,94.1,1.75,2001-2002,East
ORLANDO MAGIC,44,38,.537,100.5,98.9,1.25,2001-2002,East
PHILADELPHIA 76ERS,43,39,.524,91.0,89.4,1.27,2001-2002,East
WASHINGTON WIZARDS,37,45,.451,92.8,94.2,-1.58,2001-2002,East
MIAMI HEAT,36,46,.439,87.2,88.7,-1.84,2001-2002,East
NEW YORK KNICKS,30,52,.366,91.6,95.6,-4.15,2001-2002,East
DETROIT PISTONS,50,32,.610,94.3,92.2,1.69,2001-2002,East
CHARLOTTE HORNETS,44,38,.537,93.9,92.9,0.57,2001-2002,East
TORONTO RAPTORS,42,40,.512,91.4,91.8,-0.71,2001-2002,East
INDIANA PACERS,42,40,.512,96.8,96.5,-0.07,2001-2002,East
MILWAUKEE BUCKS,41,41,.500,97.5,97.7,-0.62,2001-2002,East
ATLANTA HAWKS,33,49,.402,94.0,98.3,-4.41,2001-2002,East
CLEVELAND CAVALIERS,29,53,.354,95.3,98.6,-3.52,2001-2002,East
CHICAGO BULLS,21,61,.256,89.5,98.0,-8.52,2001-2002,East
NEW JERSEY NETS,49,33,.598,95.4,90.1,4.42,2002-2003,East
PHILADELPHIA 76ERS,48,34,.585,96.8,94.5,1.76,2002-2003,East
BOSTON CELTICS,44,38,.537,92.7,93.1,-0.75,2002-2003,East
ORLANDO MAGIC,42,40,.512,98.5,98.4,-0.39,2002-2003,East
WASHINGTON WIZARDS,37,45,.451,91.5,92.5,-1.47,2002-2003,East
NEW YORK KNICKS,37,45,.451,95.9,97.2,-1.61,2002-2003,East
MIAMI HEAT,25,57,.305,85.6,90.6,-5.13,2002-2003,East
DETROIT PISTONS,50,32,.610,91.4,87.7,2.97,2002-2003,East
INDIANA PACERS,48,34,.585,96.8,93.3,2.79,2002-2003,East
NEW ORLEANS HORNETS,47,35,.573,93.9,91.8,1.52,2002-2003,East
MILWAUKEE BUCKS,42,40,.512,99.5,99.3,-0.24,2002-2003,East
ATLANTA HAWKS,35,47,.427,94.1,97.6,-3.87,2002-2003,East
CHICAGO BULLS,30,52,.366,95.0,100.1,-5.31,2002-2003,East
TORONTO RAPTORS,24,58,.293,90.9,96.8,-6.10,2002-2003,East
CLEVELAND CAVALIERS,17,65,.207,91.4,101.0,-9.59,2002-2003,East
NEW JERSEY NETS,47,35,.573,90.3,87.8,1.88,2003-2004,East
MIAMI HEAT,42,40,.512,90.3,89.7,-0.13,2003-2004,East
NEW YORK KNICKS,39,43,.476,92.0,93.5,-1.97,2003-2004,East
BOSTON CELTICS,36,46,.439,95.3,96.7,-1.99,2003-2004,East
PHILADELPHIA 76ERS,33,49,.402,88.0,90.5,-2.95,2003-2004,East
WASHINGTON WIZARDS,25,57,.305,91.8,97.4,-6.12,2003-2004,East
ORLANDO MAGIC,21,61,.256,94.0,101.1,-7.25,2003-2004,East
INDIANA PACERS,61,21,.744,91.4,85.6,4.93,2003-2004,East
DETROIT PISTONS,54,28,.659,90.1,84.3,5.04,2003-2004,East
NEW ORLEANS HORNETS,41,41,.500,91.8,91.9,-0.72,2003-2004,East
MILWAUKEE BUCKS,41,41,.500,98.0,97.0,0.42,2003-2004,East
CLEVELAND CAVALIERS,35,47,.427,92.9,95.5,-3.07,2003-2004,East
TORONTO RAPTORS,33,49,.402,85.4,88.5,-3.42,2003-2004,East
ATLANTA HAWKS,28,54,.341,92.8,97.5,-5.00,2003-2004,East
CHICAGO BULLS,23,59,.280,89.7,96.0,-6.69,2003-2004,East
BOSTON CELTICS,45,37,.549,101.3,100.4,0.35,2004-2005,East
PHILADELPHIA 76ERS,43,39,.524,99.1,99.9,-1.07,2004-2005,East
NEW JERSEY NETS,42,40,.512,91.4,92.9,-1.82,2004-2005,East
TORONTO RAPTORS,33,49,.402,99.7,101.4,-1.81,2004-2005,East
NEW YORK KNICKS,33,49,.402,97.3,99.7,-2.72,2004-2005,East
DETROIT PISTONS,54,28,.659,93.3,89.5,3.31,2004-2005,East
CHICAGO BULLS,47,35,.573,94.5,93.4,0.65,2004-2005,East
INDIANA PACERS,44,38,.537,93.0,92.2,0.49,2004-2005,East
CLEVELAND CAVALIERS,42,40,.512,96.5,95.7,0.27,2004-2005,East
MILWAUKEE BUCKS,30,52,.366,97.2,100.2,-3.09,2004-2005,East
MIAMI HEAT,59,23,.720,101.5,95.0,5.77,2004-2005,East
WASHINGTON WIZARDS,45,37,.549,100.5,100.8,-0.71,2004-2005,East
ORLANDO MAGIC,36,46,.439,99.5,101.8,-2.52,2004-2005,East
CHARLOTTE BOBCATS,18,64,.220,94.3,100.2,-6.15,2004-2005,East
ATLANTA HAWKS,13,69,.159,92.7,102.5,-9.62,2004-2005,East
NEW JERSEY NETS,49,33,.598,93.8,92.4,1.11,2005-2006,East
PHILADELPHIA 76ERS,38,44,.463,99.4,101.3,-2.10,2005-2006,East
BOSTON CELTICS,33,49,.402,98.0,99.5,-1.59,2005-2006,East
TORONTO RAPTORS,27,55,.329,101.1,104.0,-3.03,2005-2006,East
NEW YORK KNICKS,23,59,.280,95.6,102.0,-6.30,2005-2006,East
DETROIT PISTONS,64,18,.780,96.8,90.2,6.24,2005-2006,East
CLEVELAND CAVALIERS,50,32,.610,97.6,95.4,2.17,2005-2006,East
INDIANA PACERS,41,41,.500,93.9,92.0,1.62,2005-2006,East
CHICAGO BULLS,41,41,.500,97.8,97.2,0.51,2005-2006,East
MILWAUKEE BUCKS,40,42,.488,97.8,98.8,-1.07,2005-2006,East
MIAMI HEAT,52,30,.634,99.9,96.0,3.59,2005-2006,East
WASHINGTON WIZARDS,42,40,.512,101.7,99.8,1.57,2005-2006,East
ORLANDO MAGIC,36,46,.439,94.9,96.0,-1.26,2005-2006,East
CHARLOTTE BOBCATS,26,56,.317,96.9,100.9,-3.90,2005-2006,East
ATLANTA HAWKS,26,56,.317,97.2,102.0,-4.69,2005-2006,East
TORONTO RAPTORS,47,35,.573,99.5,98.5,0.61,2006-2007,East
NEW JERSEY NETS,41,41,.500,97.6,98.3,-1.00,2006-2007,East
PHILADELPHIA 76ERS,35,47,.427,94.9,98.0,-3.26,2006-2007,East
NEW YORK KNICKS,33,49,.402,97.5,100.3,-3.06,2006-2007,East
BOSTON CELTICS,24,58,.293,95.8,99.2,-3.70,2006-2007,East
DETROIT PISTONS,53,29,.646,96.0,91.8,3.69,2006-2007,East
CLEVELAND CAVALIERS,50,32,.610,96.8,92.9,3.33,2006-2007,East
CHICAGO BULLS,49,33,.598,98.8,93.8,4.52,2006-2007,East
INDIANA PACERS,35,47,.427,95.6,98.0,-2.62,2006-2007,East
MILWAUKEE BUCKS,28,54,.341,99.7,104.0,-4.43,2006-2007,East
MIAMI HEAT,44,38,.537,94.6,95.5,-1.21,2006-2007,East
WASHINGTON WIZARDS,41,41,.500,104.3,104.9,-0.80,2006-2007,East
ORLANDO MAGIC,40,42,.488,94.8,94.0,0.35,2006-2007,East
CHARLOTTE BOBCATS,33,49,.402,96.9,100.6,-3.97,2006-2007,East
ATLANTA HAWKS,30,52,.366,93.7,98.4,-4.86,2006-2007,East
BOSTON CELTICS,66,16,.805,100.5,90.3,9.30,2007-2008,East
TORONTO RAPTORS,41,41,.500,100.2,97.3,2.47,2007-2008,East
PHILADELPHIA 76ERS,40,42,.488,96.6,96.2,0.19,2007-2008,East
NEW JERSEY NETS,34,48,.415,95.8,100.9,-5.15,2007-2008,East
NEW YORK KNICKS,23,59,.280,96.9,103.5,-6.55,2007-2008,East
DETROIT PISTONS,59,23,.720,97.5,90.1,6.67,2007-2008,East
CLEVELAND CAVALIERS,45,37,.549,96.4,96.7,-0.53,2007-2008,East
INDIANA PACERS,36,46,.439,104.0,105.4,-1.87,2007-2008,East
CHICAGO BULLS,33,49,.402,97.3,100.4,-3.19,2007-2008,East
MILWAUKEE BUCKS,26,56,.317,97.0,103.9,-6.92,2007-2008,East
ORLANDO MAGIC,52,30,.634,104.5,99.0,4.79,2007-2008,East
WASHINGTON WIZARDS,43,39,.524,98.8,99.2,-0.61,2007-2008,East
ATLANTA HAWKS,37,45,.451,98.2,100.0,-2.23,2007-2008,East
CHARLOTTE BOBCATS,32,50,.390,97.1,101.4,-4.49,2007-2008,East
MIAMI HEAT,15,67,.183,91.4,100.0,-8.53,2007-2008,East
BOSTON CELTICS,62,20,.756,100.9,93.4,7.44,2008-2009,East
PHILADELPHIA 76ERS,41,41,.500,97.4,97.3,0.16,2008-2009,East
NEW JERSEY NETS,34,48,.415,98.1,100.5,-2.31,2008-2009,East
TORONTO RAPTORS,33,49,.402,99.0,101.9,-2.54,2008-2009,East
NEW YORK KNICKS,32,50,.390,105.2,107.8,-2.33,2008-2009,East
CLEVELAND CAVALIERS,66,16,.805,100.3,91.4,8.68,2008-2009,East
CHICAGO BULLS,41,41,.500,102.2,102.5,-0.16,2008-2009,East
DETROIT PISTONS,39,43,.476,94.2,94.7,-0.36,2008-2009,East
INDIANA PACERS,36,46,.439,105.1,106.2,-0.76,2008-2009,East
MILWAUKEE BUCKS,34,48,.415,99.3,100.4,-0.88,2008-2009,East
ORLANDO MAGIC,59,23,.720,101.0,94.4,6.48,2008-2009,East
ATLANTA HAWKS,47,35,.573,98.1,96.5,1.70,2008-2009,East
MIAMI HEAT,43,39,.524,98.3,98.0,0.49,2008-2009,East
CHARLOTTE BOBCATS,35,47,.427,93.6,94.9,-1.20,2008-2009,East
